                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00076409,             0.00076409,             0.00076409
                     49,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     50,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00073579,             0.00073579,             0.00073579
                     51,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                     52,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0007075,              0.0007075,              0.0007075
                     53,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     54,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0006792,              0.0006792,              0.0006792
                     55,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00066506,             0.00066506,             0.00066506
                     56,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00065091,             0.00065091,             0.00065091
                     57,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                     58,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00062262,             0.00062262,             0.00062262
                     59,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00060847,             0.00060847,             0.00060847
                     60,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00059432,             0.00059432,             0.00059432
                     61,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     62,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00056603,             0.00056603,             0.00056603
                     63,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00055188,             0.00055188,             0.00055188
                     64,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00053773,             0.00053773,             0.00053773
                     65,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
                     66,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00050944,             0.00050944,             0.00050944
                     67,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00049529,             0.00049529,             0.00049529
                     68,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00048114,             0.00048114,             0.00048114
                     69,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                     70,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00045285,             0.00045285,             0.00045285
                     71,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0004387,              0.0004387,              0.0004387
                     72,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00042456,             0.00042456,             0.00042456
                     73,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                     74,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00039626,             0.00039626,             0.00039626
                     75,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00038211,             0.00038211,             0.00038211
                     76,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00036797,             0.00036797,             0.00036797
                     77,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
                     78,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00033967,             0.00033967,             0.00033967
                     79,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00032553,             0.00032553,             0.00032553
                     80,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00031138,             0.00031138,             0.00031138
                     81,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     82,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00028308,             0.00028308,             0.00028308
                     83,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00026894,             0.00026894,             0.00026894
                     84,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00025479,             0.00025479,             0.00025479
                     85,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00024064,             0.00024064,             0.00024064
                     86,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0002265,              0.0002265,              0.0002265
                     87,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00021235,             0.00021235,             0.00021235
                     88,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                     89,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00018406,             0.00018406,             0.00018406
                     90,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00016991,             0.00016991,             0.00016991
                     91,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00015576,             0.00015576,             0.00015576
                     92,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00014161,             0.00014161,             0.00014161
                     93,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00012747,             0.00012747,             0.00012747
                     94,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00011332,             0.00011332,             0.00011332
                     95,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.8437e-05,             2.8437e-05,             2.8437e-05
